name	type	units	sampling_frequency	status
EEG001	EEG	µV	1200	good
EEG002	EEG	µV	1200	good
EEG003	EEG	µV	1200	good
EEG004	EEG	µV	1200	good
EEG005	EEG	µV	1200	good
EEG006	EEG	µV	1200	good
EEG007	EEG	µV	1200	good
EEG008	EEG	µV	1200	good
EEG009	EEG	µV	1200	good
EEG010	EEG	µV	1200	good
EEG011	EEG	µV	1200	good
EEG012	EEG	µV	1200	good
EEG013	EEG	µV	1200	good
EEG014	EEG	µV	1200	bad
EEG015	EEG	µV	1200	good
EEG016	EEG	µV	1200	good
EEG017	EEG	µV	1200	good
EEG018	EEG	µV	1200	good
EEG019	EEG	µV	1200	good
EEG020	EEG	µV	1200	good
EEG021	EEG	µV	1200	good
EEG022	EEG	µV	1200	good
EEG023	EEG	µV	1200	good
EEG024	EEG	µV	1200	good
EEG025	EEG	µV	1200	good
EEG026	EEG	µV	1200	good
EEG027	EEG	µV	1200	good
EEG028	EEG	µV	1200	good
EEG029	EEG	µV	1200	good
EEG030	EEG	µV	1200	good
EEG031	EEG	µV	1200	good
EEG032	EEG	µV	1200	good
EEG033	EEG	µV	1200	good
EEG034	EEG	µV	1200	good
EEG035	EEG	µV	1200	good
EEG036	EEG	µV	1200	good
EEG037	EEG	µV	1200	good
EEG038	EEG	µV	1200	good
EEG039	EEG	µV	1200	good
EEG040	EEG	µV	1200	good
EEG041	EEG	µV	1200	good
EEG042	EEG	µV	1200	good
EEG043	EEG	µV	1200	good
EEG044	EEG	µV	1200	good
EEG045	EEG	µV	1200	good
EEG046	EEG	µV	1200	good
EEG047	EEG	µV	1200	good
EEG048	EEG	µV	1200	good
EEG049	EEG	µV	1200	good
EEG050	EEG	µV	1200	good
EEG051	EEG	µV	1200	good
EEG052	EEG	µV	1200	good
EEG053	EEG	µV	1200	good
EEG054	EEG	µV	1200	good
EEG055	EEG	µV	1200	good
EEG056	EEG	µV	1200	good
EEG057	EEG	µV	1200	good
EEG058	EEG	µV	1200	good
EEG059	EEG	µV	1200	good
EEG060	EEG	µV	1200	good
EEG061	EEG	µV	1200	good
EEG062	EEG	µV	1200	good
EEG063	EEG	µV	1200	good
EEG064	EEG	µV	1200	good
EEG065	EEG	µV	1200	good
EEG066	EEG	µV	1200	good
EEG067	EEG	µV	1200	good
EEG068	EEG	µV	1200	good
EEG069	EEG	µV	1200	good
EEG070	EEG	µV	1200	good
EEG071	EEG	µV	1200	good
EEG072	EEG	µV	1200	good
EEG073	EEG	µV	1200	good
EEG074	EEG	µV	1200	good
EEG075	EEG	µV	1200	good
EEG076	EEG	µV	1200	good
EEG077	EEG	µV	1200	good
EEG078	EEG	µV	1200	good
EEG079	EEG	µV	1200	good
EEG080	EEG	µV	1200	good
EEG081	EEG	µV	1200	good
EEG082	EEG	µV	1200	good
EEG083	EEG	µV	1200	good
EEG084	EEG	µV	1200	good
EEG085	EEG	µV	1200	good
EEG086	EEG	µV	1200	good
EEG087	EEG	µV	1200	good
EEG088	EEG	µV	1200	good
EEG089	EEG	µV	1200	good
EEG090	EEG	µV	1200	good
EEG091	EEG	µV	1200	good
EEG092	EEG	µV	1200	good
EEG093	EEG	µV	1200	good
EEG094	EEG	µV	1200	good
EEG095	EEG	µV	1200	good
EEG096	EEG	µV	1200	good
EEG097	EEG	µV	1200	good
EEG098	EEG	µV	1200	good
EEG099	EEG	µV	1200	good
EEG100	EEG	µV	1200	good
EEG101	EEG	µV	1200	bad
EEG102	EEG	µV	1200	good
EEG103	EEG	µV	1200	good
EEG104	EEG	µV	1200	good
EEG105	EEG	µV	1200	good
EEG106	EEG	µV	1200	good
EEG107	EEG	µV	1200	good
EEG108	EEG	µV	1200	good
EEG109	EEG	µV	1200	good
EEG110	EEG	µV	1200	good
EEG111	EEG	µV	1200	good
EEG112	EEG	µV	1200	good
EEG113	EEG	µV	1200	good
EEG114	EEG	µV	1200	good
EEG115	EEG	µV	1200	good
EEG116	EEG	µV	1200	good
EEG117	EEG	µV	1200	good
EEG118	EEG	µV	1200	good
EEG119	EEG	µV	1200	good
EEG120	EEG	µV	1200	good
EEG121	EEG	µV	1200	good
EEG122	EEG	µV	1200	good
EEG123	EEG	µV	1200	good
EEG124	EEG	µV	1200	good
EEG125	EEG	µV	1200	good
EEG126	EEG	µV	1200	good
EEG127	EEG	µV	1200	good
EEG128	EEG	µV	1200	good
DISPLAY	MISC	µV	1200	good
MIC	MISC	µV	1200	good
EOG	EOG	µV	1200	good
EMG_UPPER_LIP	EMG	µV	1200	good
EMG_LOWER_LIP	EMG	µV	1200	good
STIM	TRIG	n/a	1200	good
